Item,people,season,accommodation,activities,transport,abroad,duration
Book,,,,,,,1
Tablets,Bob,,,,,,
Passport,,,,,,y,
Hairbrush,Anna,,,,,,1
Games,Anna AND Bob,,,,,,
Towel,,,Friends/Family,,,,
Towel,,,,Swimming,,,
Sun hat,,"Spring, Summer",,,,,
Phone charger,,,,,,,1
Wallet,,,,,,,1
Keys,,,,,,,1
Headphones,,,,,,,1
Water bottle,,,,,,,1
Toothbrush,,,,,,,1
Toothpaste,,,,,,,1
Clothes,,,,,,,1
Day bag,,,,,,,1
Spare book,,,,,,,3
Laundry tablets,,,,,,,7
Warm hat,,"Autumn, Winter",,,,,
Gloves,,"Autumn, Winter",,,,,
Suncream,,Summer,,,,,
Sunglasses,,,,,,,1
Shower gel,,,Friends/Family,,,,
Gift,,,Friends/Family,,,,
Tent,,,Camping,,,,
Sleeping bag,,,Camping,,,,
Sleeping mat,,,Camping,,,,
Camping stove,,,Camping,,,,
Plates/bowls/cups,,,Camping,,,,
Cutlery,,,Camping,,,,
Cooking utensils,,,Camping,,,,
Towel,,,Camping,,,,
Shower gel,,,Camping,,,,
Washing up liquid,,,Camping,,,,
Cooking oil / Butter,,,Camping,,,,
Food,,,Camping,,,,
First aid kit,,,Camping,,,,
Playing cards,Anna AND Bob,,Camping,,,,
Lamp/torch,,,Camping,,,,
Fuel for stove,,,Camping,,,,
Cooking pot,,,Camping,,,,
Sponge / Wash cloth,,,Camping,,,,
Tupperware box(es),,,Camping,,,,
Clothes pegs / Elastic bands,,,Camping,,,,
Tea bags,,,Camping,,,,
Rubbish bag,,,Camping,,,,
Hotel booking details,,,Hotel,,,,
Towel,,,Other,,,,
Shower gel,,,Other,,,,
Swimming costume,,,,Swimming,,,
Shampoo,Anna,,,Swimming,,,
Goggles,,,,Swimming,,,
Cycling shorts,,,,Cycling,,,
Cycling helmet,,,,Cycling,,,
Pannier(s),,,,Cycling,,,
Bike lights,,,,Cycling,,,
Bike lock,,,,Cycling,,,
Maps,,,,Cycling,,,
Multi-tool,,,,Cycling,,,
Bike pump,,,,Cycling,,,
Puncture repair kit,,,,Cycling,,,
Walking boots,,,,Hiking,,,
Walking poles,,,,Hiking,,,
Foreign currency,,,,,,y,
Plug adaptor,,,,,,y,
Car key,,,,,Car,,
Picnic blanket,,,,,Car,,
Travel-sickness tablets,Bob,,,,Boat,,
Boat tickets,,,,,Boat,,
Train tickets,,,,,Train,,
Running shoes,,,,Running,,,
Running shorts,,,,Running,,,
Running socks,,,,Running,,,
T-shirt(s) for running,,,,Running,,,
Bike lights,,,,,Bicycle,,
Bike lock and cable,,,,,Bicycle,,